name,T,seed,policy,dmr_mean_x,dmr_mean_mid_x,gap_mean_x,gap_mean_mid,wdmr_gap_auc,wdmr_gap_auc_mid,wdmr_gap_mean,wdmr_gap_mean_mid,void_auc,ttr,gap_mean_y,dmr_mean_y,dmr_mean_mid_y
GRID_ace_T50_seed11_d0_B1,50,11,ACE,0.3971904761904762,0.44630952380952377,0.38558549999999997,0.3942956249999999,6.720534318452381,3.511627651785714,0.13441068636904763,0.1755813825892857,9.542175000000002,27.0,0.3855854999999999,0.3971904761904762,0.5674149659863945
GRID_ace_T50_seed11_d0_B3,50,11,ACE,0.21468571428571426,0.23988095238095236,0.395451,0.412295,3.659436071428571,1.995320238095238,0.07318872142857141,0.09976601190476192,9.356525,25.0,0.395451,0.2146857142857142,0.3066938775510204
GRID_ace_T50_seed11_d0_B5,50,11,ACE,0.14577142857142855,0.11809523809523807,0.40468699999999996,0.42079374999999997,2.5214374285714283,1.0011135119047616,0.05042874857142857,0.05005567559523809,9.338450000000002,29.0,0.4046870000000001,0.1457714285714285,0.2082448979591837
GRID_ace_T50_seed11_d2_B1,50,11,ACE,0.5287809523809525,0.6919523809523811,0.37170125,0.379031875,9.043181857142857,5.1664043571428575,0.18086363714285714,0.2583202178571428,9.5809125,16.0,0.37170125,0.5287809523809525,0.7325442176870749
GRID_ace_T50_seed11_d2_B3,50,11,ACE,0.3826761904761905,0.4395238095238095,0.39454174999999997,0.41347500000000004,6.859770086309523,3.6358838988095235,0.13719540172619046,0.1817941949404762,9.739187500000002,10.0,0.3945417499999999,0.3826761904761904,0.5466802721088435
GRID_ace_T50_seed11_d2_B5,50,11,ACE,0.3392952380952381,0.4035714285714286,0.403962,0.410405,6.508432404761905,3.2829552380952376,0.1301686480952381,0.1641477619047619,9.751549999999998,14.0,0.4039619999999999,0.3392952380952381,0.4847074829931972
GRID_ace_T50_seed11_d5_B1,50,11,ACE,0.7107000000000001,0.8746666666666668,0.360004,0.33569750000000004,12.542159520833334,5.917049,0.2508431904166667,0.29585245000000004,9.79095,17.0,0.360004,0.7106999999999999,0.8417142857142857
GRID_ace_T50_seed11_d5_B3,50,11,ACE,0.4484261904761905,0.5539821428571428,0.3916435,0.39031749999999993,8.144984373511905,4.264467602678571,0.16289968747023809,0.21322338013392858,9.492575,13.0,0.3916435,0.4484261904761905,0.640608843537415
GRID_ace_T50_seed11_d5_B5,50,11,ACE,0.39823333333333333,0.43624999999999997,0.39853375,0.39705874999999996,7.483735979166666,3.4542815624999994,0.14967471958333334,0.17271407812499998,9.1316625,12.0,0.39853375,0.3982333333333334,0.5689047619047619
GRID_ace_T50_seed12_d0_B1,50,12,ACE,0.3728476190476191,0.3846190476190476,0.2210925,0.22053874999999995,4.306031291666667,1.7227553541666665,0.08612062583333334,0.08613776770833333,11.931125,19.0,0.2210925,0.3728476190476191,0.5326394557823129
