name,T,seed,policy,dmr_mean_x,dmr_mean_mid_x,gap_mean_x,gap_mean_mid,wdmr_gap_auc,wdmr_gap_auc_mid,wdmr_gap_mean,wdmr_gap_mean_mid,void_auc,ttr,gap_mean_y,dmr_mean_y,dmr_mean_mid_y
GRID_ace_T50_seed11_d2_B1,50,11,ACE,0.5287809523809525,0.6919523809523811,0.37170125,0.379031875,9.043181857142857,5.1664043571428575,0.1808636371428571,0.2583202178571428,9.5809125,16.0,0.37170125,0.5287809523809525,0.7325442176870749
GRID_ace_T50_seed11_d2_B3,50,11,ACE,0.3826761904761905,0.4395238095238095,0.3945417499999999,0.413475,6.859770086309523,3.635883898809523,0.1371954017261904,0.1817941949404762,9.739187500000002,10.0,0.3945417499999999,0.3826761904761904,0.5466802721088435
GRID_ace_T50_seed11_d5_B1,50,11,ACE,0.7107000000000001,0.8746666666666668,0.360004,0.3356975,12.542159520833334,5.917049,0.2508431904166667,0.29585245,9.79095,17.0,0.360004,0.7106999999999999,0.8417142857142857
GRID_ace_T50_seed11_d5_B3,50,11,ACE,0.4484261904761905,0.5539821428571428,0.3916435,0.3903174999999999,8.144984373511905,4.264467602678571,0.162899687470238,0.2132233801339285,9.492575,13.0,0.3916435,0.4484261904761905,0.640608843537415
GRID_ace_T50_seed12_d2_B1,50,12,ACE,0.5477904761904762,0.7428095238095238,0.2296359999999999,0.2294218749999999,6.276823702380952,3.3828057857142855,0.125536474047619,0.1691402892857142,10.669575,24.0,0.229636,0.5477904761904763,0.7597006802721088
GRID_ace_T50_seed12_d2_B3,50,12,ACE,0.3345714285714286,0.3372619047619047,0.2307955,0.211519375,3.934543020833333,1.4185214583333332,0.0786908604166666,0.0709260729166666,11.842175,17.0,0.2307955,0.3345714285714286,0.4779591836734693
GRID_ace_T50_seed12_d5_B1,50,12,ACE,0.7095666666666667,0.851,0.2331332499999999,0.2471124999999999,8.427667604166665,4.2121224999999995,0.1685533520833333,0.2106061249999999,10.6495875,17.0,0.23313325,0.7095666666666665,0.8272380952380952
GRID_ace_T50_seed12_d5_B3,50,12,ACE,0.4583952380952381,0.5839047619047619,0.2295474999999999,0.2222756249999999,5.422059145833334,2.5502753958333333,0.1084411829166666,0.1275137697916666,11.3811,22.0,0.2295475,0.4583952380952381,0.6548503401360544
GRID_ace_T50_seed13_d2_B1,50,13,ACE,0.5608761904761905,0.7588571428571429,0.2987802499999999,0.279786875,8.002294928571427,4.262705761904762,0.1600458985714285,0.2131352880952381,9.5184875,25.0,0.29878025,0.5608761904761905,0.7726802721088436
GRID_ace_T50_seed13_d2_B3,50,13,ACE,0.3188952380952381,0.3589047619047619,0.3393065,0.357879375,5.187037309523809,2.5666251220238094,0.1037407461904761,0.1283312561011905,9.649349999999998,15.0,0.3393064999999999,0.3188952380952381,0.4555646258503401
GRID_ace_T50_seed13_d5_B1,50,13,ACE,0.7483833333333334,0.9278333333333336,0.2913469999999999,0.2975675,10.996867052083331,5.579495958333333,0.2199373410416666,0.2789747979166666,8.864875000000001,14.0,0.2913469999999999,0.7483833333333334,0.8730476190476192
GRID_ace_T50_seed13_d5_B3,50,13,ACE,0.4022476190476191,0.430202380952381,0.3260324999999999,0.309104375,6.186440845238095,2.519442407738095,0.1237288169047619,0.1259721203869047,9.5818,20.0,0.3260324999999999,0.4022476190476191,0.5746394557823129
GRID_dcas_T50_seed11_d2_B1,50,11,DCAS,0.566452380952381,0.8048809523809524,0.3636705,0.3356156249999998,9.094353328869047,5.3506341101190475,0.1818870665773809,0.2675317055059523,10.81855,8.0,0.3636705,0.566452380952381,0.8027891156462584
GRID_dcas_T50_seed11_d2_B3,50,11,DCAS,0.3837904761904762,0.4288095238095238,0.39407925,0.414279375,6.631006669642857,3.524955357142857,0.1326201333928571,0.1762477678571428,10.2472125,5.0,0.39407925,0.3837904761904762,0.5482721088435375
GRID_dcas_T50_seed11_d5_B1,50,11,DCAS,0.746692857142857,0.9548571428571428,0.3510687499999999,0.351908125,13.166288424107142,6.716126392857142,0.2633257684821428,0.3358063196428571,11.2712375,10.0,0.3510687499999999,0.746692857142857,0.8884897959183673
GRID_dcas_T50_seed11_d5_B3,50,11,DCAS,0.4870857142857142,0.6214642857142856,0.3853425,0.390455,8.390472894345237,4.7701253943452375,0.1678094578869047,0.2385062697172619,10.3647,8.0,0.3853425,0.4870857142857143,0.6958367346938776
GRID_dcas_T50_seed12_d2_B1,50,12,DCAS,0.5771761904761905,0.8416904761904764,0.2313407499999999,0.248950625,6.7194007976190475,4.249997047619048,0.1343880159523809,0.2124998523809524,11.7775375,15.0,0.2313407499999999,0.5771761904761905,0.8181088435374152
GRID_dcas_T50_seed12_d2_B3,50,12,DCAS,0.3927619047619048,0.4585714285714286,0.2541965,0.2687825,4.8189211755952375,2.483764300595238,0.0963784235119047,0.1241882150297618,11.3765,5.0,0.2541965,0.3927619047619048,0.5610884353741497
GRID_dcas_T50_seed12_d5_B1,50,12,DCAS,0.6592880952380952,0.8800952380952382,0.2145572499999999,0.2186349999999999,7.083833238095237,3.8480169880952375,0.1416766647619047,0.1924008494047618,12.0327125,15.0,0.2145572499999999,0.6592880952380953,0.8457687074829933
GRID_dcas_T50_seed12_d5_B3,50,12,DCAS,0.4777833333333333,0.6032083333333335,0.24883175,0.25285375,5.734590293154762,3.0200813348214286,0.1146918058630952,0.1510040667410714,11.928087500000002,10.0,0.24883175,0.4777833333333333,0.6825476190476188
GRID_dcas_T50_seed13_d2_B1,50,13,DCAS,0.5180761904761905,0.6951904761904762,0.29754575,0.290996875,7.158895434523809,4.033632934523809,0.1431779086904762,0.2016816467261904,10.4350375,16.0,0.29754575,0.5180761904761905,0.740108843537415
GRID_dcas_T50_seed13_d2_B3,50,13,DCAS,0.3783999999999999,0.3816666666666666,0.3325585,0.33388,5.868933660714285,2.5405857440476187,0.1173786732142857,0.1270292872023809,9.765725,9.0,0.3325585,0.3784,0.5405714285714285
GRID_dcas_T50_seed13_d5_B1,50,13,DCAS,0.6415833333333333,0.8527083333333332,0.29972925,0.300175,9.469601177083334,5.1249214895833335,0.1893920235416666,0.2562460744791666,10.3159625,18.0,0.29972925,0.6415833333333335,0.8301190476190475
GRID_dcas_T50_seed13_d5_B3,50,13,DCAS,0.4301857142857143,0.4837976190476191,0.3248005,0.31126875,6.671496613095238,2.928533696428571,0.1334299322619047,0.1464266848214285,9.6159,8.0,0.3248005,0.4301857142857143,0.6145510204081633
