name,tr_gap,tr_global_acc,tr_round,tr_seen_acc,tr_void_acc
GRID_ace_T50_seed11_d2_B3,0.345075,0.1258,10,0.4530999999999999,0.200975
GRID_ace_T50_seed11_d2_B3,0.3156375,0.1331,11,0.323,0.1716875
GRID_ace_T50_seed11_d2_B3,0.3712999999999999,0.1585,12,0.38735,0.159975
GRID_ace_T50_seed11_d2_B3,0.3242124999999999,0.2457,13,0.457,0.1928125
GRID_ace_T50_seed11_d2_B3,0.34615,0.2478,14,0.4683999999999999,0.1914
GRID_ace_T50_seed11_d2_B3,0.4029749999999999,0.2458,15,0.47675,0.196375
GRID_ace_T50_seed11_d2_B3,0.413375,0.3406,16,0.4915,0.195875
GRID_ace_T50_seed11_d2_B3,0.407575,0.3099,17,0.51955,0.2209249999999999
GRID_ace_T50_seed11_d2_B3,0.4345625,0.3274,18,0.5100499999999999,0.2056125
GRID_ace_T50_seed11_d2_B3,0.3759625,0.2328,19,0.4408,0.2003625
GRID_ace_T50_seed11_d2_B3,0.394625,0.2687,20,0.4483,0.189425
GRID_ace_T50_seed11_d2_B3,0.4041374999999999,0.2595,21,0.4822999999999999,0.1927375
GRID_ace_T50_seed11_d2_B3,0.4064124999999999,0.3351,22,0.48865,0.1993375
GRID_ace_T50_seed11_d2_B3,0.40135,0.3724,23,0.5422,0.23845
GRID_ace_T50_seed11_d2_B3,0.4261875,0.4203,24,0.51795,0.2017625
GRID_ace_T50_seed11_d2_B3,0.3797375,0.3152,25,0.4597,0.1867625
GRID_ace_T50_seed11_d2_B3,0.44195,0.3602,26,0.4958999999999999,0.2042749999999999
GRID_ace_T50_seed11_d2_B3,0.3692749999999999,0.2523,27,0.4555499999999999,0.182425
GRID_ace_T50_seed11_d2_B3,0.39325,0.3556,28,0.4974,0.2037749999999999
GRID_ace_T50_seed11_d2_B3,0.4143125,0.4423,29,0.50695,0.2001375
GRID_ace_T50_seed11_d2_B3,0.4425499999999999,0.4463,30,0.52985,0.207975
GRID_ace_T50_seed11_d2_B3,0.4493875000000001,0.4061,31,0.518,0.1975625
GRID_ace_T50_seed11_d2_B3,0.4484375,0.4607,32,0.5306,0.2126624999999999
GRID_ace_T50_seed11_d2_B3,0.4297750000000001,0.4218,33,0.50515,0.19565
GRID_ace_T50_seed11_d2_B3,0.4336624999999999,0.4598,34,0.5118,0.2007375
GRID_ace_T50_seed11_d2_B3,0.4298875,0.3351,35,0.51265,0.2042125
GRID_ace_T50_seed11_d2_B3,0.4617,0.4335,36,0.5478500000000001,0.224475
GRID_ace_T50_seed11_d2_B3,0.44485,0.4373,37,0.5221,0.20535
GRID_ace_T50_seed11_d2_B3,0.418175,0.4506,38,0.5164,0.212275
GRID_ace_T50_seed11_d2_B3,0.4421374999999999,0.4378,39,0.5137499999999999,0.1970625
GRID_ace_T50_seed11_d2_B3,0.41125,0.376,40,0.48855,0.2054249999999999
GRID_ace_T50_seed11_d2_B3,0.4554625,0.4064,41,0.5276000000000001,0.2075374999999999
GRID_ace_T50_seed11_d2_B3,0.4668624999999999,0.502,42,0.57565,0.2468374999999999
GRID_ace_T50_seed11_d2_B3,0.4791374999999999,0.4475,43,0.5765,0.2491874999999999
GRID_ace_T50_seed11_d2_B3,0.46475,0.5223,44,0.5726,0.248725
GRID_ace_T50_seed11_d2_B3,0.4532874999999999,0.4677,45,0.55205,0.2359875
GRID_ace_T50_seed11_d2_B3,0.4687999999999999,0.4982,46,0.5698,0.2433
GRID_ace_T50_seed11_d2_B3,0.4254125,0.2632,47,0.5018,0.2094875
GRID_ace_T50_seed11_d2_B3,0.4484375,0.4323,48,0.5254,0.2083375
GRID_ace_T50_seed11_d2_B3,0.458725,0.5101,49,0.5545,0.240375
GRID_ace_T50_seed11_d5_B1,0.329275,0.1504,0,0.3335999999999999,0.1251
GRID_ace_T50_seed11_d5_B1,0.3392375,0.2167,1,0.3877,0.1453875
GRID_ace_T50_seed11_d5_B1,0.3688125,0.2685,2,0.4215,0.1580625
GRID_ace_T50_seed11_d5_B1,0.3894125,0.304,3,0.4455,0.1673125
GRID_ace_T50_seed11_d5_B1,0.3800999999999999,0.3428,4,0.4358000000000001,0.1638
GRID_ace_T50_seed11_d5_B1,0.3991125,0.3279,5,0.4364,0.1668375
GRID_ace_T50_seed11_d5_B1,0.3957375,0.3582,6,0.4711999999999999,0.1826374999999999
GRID_ace_T50_seed11_d5_B1,0.401575,0.3336,7,0.4626,0.17535
