cp_ACE_avg,cp_DMR_avg,cp_bytes_delivered,cp_bytes_sent,cp_risk_max_mean,cp_risk_sum_topB_mean,cp_round,cp_triggered_edges,name
0.0,1.0,0,49200,0.0,0.0,4,0,GRID_ace_T50_seed11_d2_B3
1.6041572294151691,0.8666666666666667,49200,0,0.0,0.0,5,2,GRID_ace_T50_seed11_d2_B3
1.6041572294151691,0.8666666666666667,0,49200,0.0,0.0,6,0,GRID_ace_T50_seed11_d2_B3
3.1813395835732763,0.8666666666666667,49200,0,0.0,0.0,7,2,GRID_ace_T50_seed11_d2_B3
3.1813395835732763,0.8666666666666667,0,49200,0.0,0.0,8,0,GRID_ace_T50_seed11_d2_B3
3.9065194734685336,0.8166666666666667,49200,0,0.0,0.0,9,2,GRID_ace_T50_seed11_d2_B3
3.9065194734685336,0.8166666666666667,0,49200,0.0,0.0,10,0,GRID_ace_T50_seed11_d2_B3
5.72201546039476,0.9416666666666668,49200,0,0.0,0.0,11,2,GRID_ace_T50_seed11_d2_B3
5.72201546039476,0.9416666666666668,0,49200,0.0,0.0,12,0,GRID_ace_T50_seed11_d2_B3
5.346150456312064,0.6799999999999999,49200,0,0.0,0.0,13,2,GRID_ace_T50_seed11_d2_B3
5.346150456312064,0.6799999999999999,0,49200,0.0,0.0,14,0,GRID_ace_T50_seed11_d2_B3
4.434011968104085,0.5119047619047619,49200,0,0.0,0.0,15,2,GRID_ace_T50_seed11_d2_B3
4.434011968104085,0.5119047619047619,0,49200,0.0,0.0,16,0,GRID_ace_T50_seed11_d2_B3
5.4558746512443,0.5619047619047619,49200,0,0.0,0.0,17,2,GRID_ace_T50_seed11_d2_B3
5.4558746512443,0.5619047619047619,0,49200,0.0,0.0,18,0,GRID_ace_T50_seed11_d2_B3
4.2675928031078225,0.3380952380952381,49200,0,0.0,0.0,19,2,GRID_ace_T50_seed11_d2_B3
4.2675928031078225,0.3380952380952381,0,49200,0.0,0.0,20,0,GRID_ace_T50_seed11_d2_B3
4.3439648587245525,0.4999999999999999,49200,0,0.0,0.0,21,2,GRID_ace_T50_seed11_d2_B3
4.3439648587245525,0.4999999999999999,0,49200,0.0,0.0,22,0,GRID_ace_T50_seed11_d2_B3
3.861805540865375,0.4047619047619047,49200,0,0.0,0.0,23,2,GRID_ace_T50_seed11_d2_B3
3.861805540865375,0.4047619047619047,0,49200,0.0,0.0,24,0,GRID_ace_T50_seed11_d2_B3
3.734806547441204,0.4464285714285714,49200,0,0.0,0.0,25,2,GRID_ace_T50_seed11_d2_B3
3.734806547441204,0.4464285714285714,0,49200,0.0,0.0,26,0,GRID_ace_T50_seed11_d2_B3
3.006101100959146,0.3952380952380953,49200,0,0.0,0.0,27,2,GRID_ace_T50_seed11_d2_B3
3.006101100959146,0.3952380952380953,0,49200,0.0,0.0,28,0,GRID_ace_T50_seed11_d2_B3
2.900239617898509,0.4523809523809524,49200,0,0.0,0.0,29,2,GRID_ace_T50_seed11_d2_B3
2.900239617898509,0.4523809523809524,0,49200,0.0,0.0,30,0,GRID_ace_T50_seed11_d2_B3
2.644884927051751,0.3142857142857143,49200,0,0.0,0.0,31,2,GRID_ace_T50_seed11_d2_B3
2.644884927051751,0.3142857142857143,0,49200,0.0,0.0,32,0,GRID_ace_T50_seed11_d2_B3
2.262558899525504,0.4702380952380952,49200,0,0.0,0.0,33,2,GRID_ace_T50_seed11_d2_B3
2.262558899525504,0.4702380952380952,0,49200,0.0,0.0,34,0,GRID_ace_T50_seed11_d2_B3
2.0828021737116016,0.0,49200,0,0.0,0.0,35,2,GRID_ace_T50_seed11_d2_B3
2.0828021737116016,0.0,0,49200,0.0,0.0,36,0,GRID_ace_T50_seed11_d2_B3
1.8668134091702968,0.0,49200,0,0.0,0.0,37,2,GRID_ace_T50_seed11_d2_B3
1.8668134091702968,0.0,0,49200,0.0,0.0,38,0,GRID_ace_T50_seed11_d2_B3
1.9714433125192237,0.0,49200,0,0.0,0.0,39,2,GRID_ace_T50_seed11_d2_B3
1.9714433125192237,0.0,0,49200,0.0,0.0,40,0,GRID_ace_T50_seed11_d2_B3
2.448547411251868,0.0,49200,0,0.0,0.0,41,2,GRID_ace_T50_seed11_d2_B3
2.448547411251868,0.0,0,49200,0.0,0.0,42,0,GRID_ace_T50_seed11_d2_B3
1.9292904950752177,0.0,49200,0,0.0,0.0,43,2,GRID_ace_T50_seed11_d2_B3
1.9292904950752177,0.0,0,49200,0.0,0.0,44,0,GRID_ace_T50_seed11_d2_B3
3.3407478617999944,0.0,49200,0,0.0,0.0,45,2,GRID_ace_T50_seed11_d2_B3
3.3407478617999944,0.0,0,49200,0.0,0.0,46,0,GRID_ace_T50_seed11_d2_B3
2.287731993029758,0.0,49200,0,0.0,0.0,47,2,GRID_ace_T50_seed11_d2_B3
2.287731993029758,0.0,0,49200,0.0,0.0,48,0,GRID_ace_T50_seed11_d2_B3
4.247713297391348,0.0,49200,0,0.0,0.0,49,2,GRID_ace_T50_seed11_d2_B3
0.0,0.0,0,0,0.0,0.0,0,0,GRID_ace_T50_seed11_d5_B1
0.0,0.0,0,0,0.0,0.0,1,0,GRID_ace_T50_seed11_d5_B1
0.0,0.0,0,16400,0.0,0.0,2,0,GRID_ace_T50_seed11_d5_B1
0.0,1.0,0,0,0.0,0.0,3,2,GRID_ace_T50_seed11_d5_B1
0.0,1.0,0,16400,0.0,0.0,4,0,GRID_ace_T50_seed11_d5_B1
0.0,1.0,0,0,0.0,0.0,5,2,GRID_ace_T50_seed11_d5_B1
0.0,1.0,0,16400,0.0,0.0,6,0,GRID_ace_T50_seed11_d5_B1
