name,tr_gap,tr_global_acc,tr_round,tr_seen_acc,tr_void_acc
PAPER_ace_T50_seed12_d5_B3,0.3279375,0.3057,6,0.3095,0.18606250000000002
PAPER_ace_T50_seed12_d5_B3,0.3265375,0.3484,7,0.33755,0.2142375
PAPER_ace_T50_seed12_d5_B3,0.287675,0.1802,8,0.2353,0.186425
PAPER_ace_T50_seed12_d5_B3,0.2707375,0.1737,9,0.23705000000000004,0.1838625
PAPER_ace_T50_seed12_d5_B3,0.21387499999999998,0.1505,10,0.2459,0.16165000000000002
PAPER_ace_T50_seed12_d5_B3,0.23304999999999998,0.1779,11,0.27030000000000004,0.1628
PAPER_ace_T50_seed12_d5_B3,0.23038750000000002,0.1785,12,0.28565,0.1732125
PAPER_ace_T50_seed12_d5_B3,0.22739999999999996,0.2234,13,0.2853,0.185425
PAPER_ace_T50_seed12_d5_B3,0.21797500000000003,0.1141,14,0.19945000000000002,0.13895000000000002
PAPER_ace_T50_seed12_d5_B3,0.19573750000000004,0.1274,15,0.22945,0.1493875
PAPER_ace_T50_seed12_d5_B3,0.21511249999999998,0.2494,16,0.3029,0.1910875
PAPER_ace_T50_seed12_d5_B3,0.28077500000000005,0.2687,17,0.31460000000000005,0.19685
PAPER_ace_T50_seed12_d5_B3,0.288775,0.28,18,0.3457,0.23907499999999998
PAPER_ace_T50_seed12_d5_B3,0.2879375,0.2788,19,0.33954999999999996,0.22573749999999998
PAPER_ace_T50_seed12_d5_B3,0.2819375,0.2021,20,0.29424999999999996,0.2279375
PAPER_ace_T50_seed12_d5_B3,0.2578,0.252,21,0.33335,0.24385000000000004
PAPER_ace_T50_seed12_d5_B3,0.30807500000000004,0.3208,22,0.3733,0.264425
PAPER_ace_T50_seed12_d5_B3,0.3277125,0.362,23,0.38364999999999994,0.2703375
PAPER_ace_T50_seed12_d5_B3,0.279575,0.3771,24,0.41994999999999993,0.31057500000000005
PAPER_ace_T50_seed12_d5_B3,0.293325,0.3584,25,0.39990000000000003,0.29527499999999995
PAPER_ace_T50_seed12_d5_B3,0.33392499999999997,0.3012,26,0.32789999999999997,0.21214999999999998
PAPER_ace_T50_seed12_d5_B3,0.320925,0.3302,27,0.3144,0.19302499999999997
PAPER_ace_T50_seed12_d5_B3,0.27565,0.3912,28,0.3992,0.29195000000000004
PAPER_ace_T50_seed12_d5_B3,0.3087375,0.4084,29,0.3956,0.2765375
PAPER_ace_T50_seed12_d5_B3,0.29255000000000003,0.4168,30,0.42000000000000004,0.299375
PAPER_ace_T50_seed12_d5_B3,0.3391125,0.4166,31,0.40854999999999997,0.28611250000000005
PAPER_ace_T50_seed12_d5_B3,0.30927499999999997,0.3892,32,0.36569999999999997,0.24769999999999998
PAPER_ace_T50_seed12_d5_B3,0.3039375,0.4262,33,0.39814999999999995,0.2822125000000001
PAPER_ace_T50_seed12_d5_B3,0.35829999999999995,0.3235,34,0.36505,0.2768
PAPER_ace_T50_seed12_d5_B3,0.3394875,0.3181,35,0.3813,0.28036249999999996
PAPER_ace_T50_seed12_d5_B3,0.33323749999999996,0.3911,36,0.41645000000000004,0.3167625
PAPER_ace_T50_seed12_d5_B3,0.3267,0.4223,37,0.41930000000000006,0.3143
PAPER_ace_T50_seed12_d5_B3,0.3230875,0.3974,38,0.40825000000000006,0.3063125
PAPER_ace_T50_seed12_d5_B3,0.333625,0.4369,39,0.42785,0.32710000000000006
PAPER_ace_T50_seed12_d5_B3,0.30798749999999997,0.3678,40,0.39965,0.3359625
PAPER_ace_T50_seed12_d5_B3,0.34392500000000004,0.3961,41,0.42225,0.335625
PAPER_ace_T50_seed12_d5_B3,0.33298750000000005,0.4828,42,0.46035000000000004,0.3426625
PAPER_ace_T50_seed12_d5_B3,0.292475,0.2934,43,0.37,0.24987499999999999
PAPER_ace_T50_seed12_d5_B3,0.33781249999999996,0.4247,44,0.41740000000000005,0.3059625
PAPER_ace_T50_seed12_d5_B3,0.311325,0.4078,45,0.43315000000000003,0.31889999999999996
PAPER_ace_T50_seed12_d5_B3,0.34681249999999997,0.4456,46,0.4478,0.3514875
PAPER_ace_T50_seed12_d5_B3,0.3089875,0.459,47,0.4213,0.3083625
PAPER_ace_T50_seed12_d5_B3,0.3452,0.4692,48,0.4779,0.371525
PAPER_ace_T50_seed12_d5_B3,0.3177625,0.5039,49,0.49115000000000003,0.38008749999999997
PAPER_ace_T50_seed13_d5_B3,0.2557125,0.1295,0,0.2557,0.09588749999999999
PAPER_ace_T50_seed13_d5_B3,0.3019,0.2055,1,0.28169999999999995,0.10569999999999999
PAPER_ace_T50_seed13_d5_B3,0.325075,0.2083,2,0.29050000000000004,0.11012499999999999
PAPER_ace_T50_seed13_d5_B3,0.34001250000000005,0.2301,3,0.29985,0.11403749999999999
PAPER_ace_T50_seed13_d5_B3,0.30965000000000004,0.2779,4,0.33585,0.141225
PAPER_ace_T50_seed13_d5_B3,0.327925,0.3074,5,0.3524,0.14965
PAPER_ace_T50_seed13_d5_B3,0.3288375,0.3113,6,0.34909999999999997,0.1441625
PAPER_ace_T50_seed13_d5_B3,0.3377875,0.2989,7,0.33975,0.1506875
PAPER_ace_T50_seed13_d5_B3,0.31261249999999996,0.164,8,0.27515,0.1573375
PAPER_ace_T50_seed13_d5_B3,0.32453750000000003,0.1563,9,0.29775,0.1569375
PAPER_ace_T50_seed13_d5_B3,0.34441249999999995,0.1518,10,0.3137,0.15138750000000004
PAPER_ace_T50_seed13_d5_B3,0.345275,0.1758,11,0.3388,0.15767499999999998
PAPER_ace_T50_seed13_d5_B3,0.30307500000000004,0.1679,12,0.30255,0.149925
PAPER_ace_T50_seed13_d5_B3,0.36008749999999995,0.1686,13,0.3241,0.1456625
PAPER_ace_T50_seed13_d5_B3,0.26517500000000005,0.1,14,0.1712,0.128075
PAPER_ace_T50_seed13_d5_B3,0.24938749999999996,0.1701,15,0.2876,0.1449125
PAPER_ace_T50_seed13_d5_B3,0.15836250000000002,0.1655,16,0.24905000000000005,0.16323749999999998
PAPER_ace_T50_seed13_d5_B3,0.2182375,0.1869,17,0.31985,0.1726625
PAPER_ace_T50_seed13_d5_B3,0.26639999999999997,0.2057,18,0.32315,0.1494
PAPER_ace_T50_seed13_d5_B3,0.29586250000000003,0.2645,19,0.33905,0.1487375
PAPER_ace_T50_seed13_d5_B3,0.3330625,0.2021,20,0.37685,0.1729125
PAPER_ace_T50_seed13_d5_B3,0.3412624999999999,0.2374,21,0.38880000000000003,0.1728625
PAPER_ace_T50_seed13_d5_B3,0.313125,0.1739,22,0.35259999999999997,0.15222500000000003
PAPER_ace_T50_seed13_d5_B3,0.3228625,0.2711,23,0.39249999999999996,0.17543749999999997
PAPER_ace_T50_seed13_d5_B3,0.29425,0.3046,24,0.36954999999999993,0.16705
PAPER_ace_T50_seed13_d5_B3,0.332075,0.3703,25,0.3984,0.18115
PAPER_ace_T50_seed13_d5_B3,0.2973875,0.3255,26,0.378,0.18131250000000002
PAPER_ace_T50_seed13_d5_B3,0.31622500000000003,0.3563,27,0.40495000000000003,0.20245000000000002
